name_pl,proxy_fdc,sfa,sugar,ca,fe,mg,k,na,zn,vitc,vitd_iu,b12,folate,epa,dha,iodine
Śmietanka bez laktozy 18%,171257,10.14,3.41,101.0,0.07,10.0,125.0,31.0,0.33,0.9,0.0,0.21,6.0,0.006,0.001,0.0
Ser feta bez laktozy,173420,13.3,0.0,493.0,0.65,19.0,62.0,1139.0,2.88,0.0,16.0,1.69,32.0,0.0,0.0,0.0
Ser żółty bez laktozy,171241,17.614,2.22,700.0,0.24,29.0,121.0,819.0,3.9,0.0,20.0,1.54,21.0,0.0,0.0,0.0
Makaron bezglutenowy kukurydziano-ryżowy (suchy),169742,0.153,0.12,18.0,0.7,12.0,30.0,182.0,0.74,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Płatki owsiane bezglutenowe,173904,1.11,0.99,52.0,4.25,138.0,362.0,6.0,3.64,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Sos tamari (bezglutenowy),172473,0.035,0.5,30.0,1.35,69.0,352.0,3598.0,0.79,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Bulion warzywny bezglutenowy,171583,0.028,0.55,3.0,0.06,1.0,19.0,296.0,0.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Tortilla kukurydziana,173241,0.334,0.0,175.0,1.4,65.0,154.0,11.0,0.94,0.0,0.0,0.0,114.0,0.0,0.0,0.0
Mąka ryżowa,169714,0.386,0.12,10.0,0.35,35.0,76.0,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Mąka gryczana,170687,0.677,2.6,41.0,4.06,251.0,577.0,11.0,3.12,0.0,0.0,0.0,54.0,0.0,0.0,0.0
Seitan,168893,0.43,0.41,34.0,3.6,137.0,363.0,2.0,2.6,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Odżywka białkowa roślinna (groch/ryż),172420,0.154,2.03,35.0,6.51,47.0,677.0,6.0,3.27,4.5,0.0,0.0,479.0,0.0,0.0,0.0
Płatki drożdżowe,175043,1.001,0.0,30.0,2.17,54.0,955.0,51.0,7.94,0.3,0.0,0.07,2340.0,0.0,0.0,0.0
Syrop klonowy,169661,0.007,60.46,102.0,0.11,21.0,212.0,12.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
